voltage,current,power,energy,timestamp,date
0.0,0.037,0.5,0.000546,19:05:2025 16:26:15.00,2025-05-19
0.0,0.037,0.5,0.000546,19:05:2025 16:26:18.45,2025-05-19
0.0,0.037,0.5,0.000546,19:05:2025 16:26:21.59,2025-05-19
0.0,0.037,0.5,0.000546,19:05:2025 16:26:24.75,2025-05-19
0.0,0.037,0.5,0.000546,19:05:2025 16:26:27.92,2025-05-19
0.0,0.037,0.5,0.000546,19:05:2025 16:26:31.25,2025-05-19
0.0,0.037,0.5,0.000546,19:05:2025 16:26:34.40,2025-05-19
0.0,0.037,0.5,0.000546,19:05:2025 16:26:37.55,2025-05-19
0.0,0.037,0.5,0.000546,19:05:2025 16:26:40.69,2025-05-19
0.0,0.037,0.5,0.000546,19:05:2025 16:26:44.13,2025-05-19
246.5,536871.4,0.5,0.00055,19:05:2025 16:26:47.18,2025-05-19
247.0,0.037,0.4,0.000546,19:05:2025 16:26:50.23,2025-05-19
247.0,0.037,0.5,0.000546,19:05:2025 16:26:53.28,2025-05-19
246.8,0.037,0.4,0.000546,19:05:2025 16:26:56.32,2025-05-19
246.8,0.037,0.5,0.000546,19:05:2025 16:26:59.38,2025-05-19
246.6,0.037,0.4,0.000546,19:05:2025 16:27:02.43,2025-05-19
246.3,0.037,0.4,0.000546,19:05:2025 16:27:05.48,2025-05-19
246.0,0.037,0.4,0.000546,19:05:2025 16:27:08.81,2025-05-19
246.1,0.037,0.4,0.000546,19:05:2025 16:27:12.21,2025-05-19
245.9,0.037,0.5,0.000546,19:05:2025 16:27:15.30,2025-05-19
246.3,0.037,0.4,0.000546,19:05:2025 16:27:18.47,2025-05-19
246.2,0.037,0.4,0.000546,19:05:2025 16:27:21.60,2025-05-19
246.2,0.037,0.5,0.000546,19:05:2025 16:27:24.67,2025-05-19
246.1,0.037,0.4,0.000546,19:05:2025 16:27:27.71,2025-05-19
246.5,0.037,0.5,0.000546,19:05:2025 16:27:30.80,2025-05-19
246.4,0.037,0.5,0.000546,19:05:2025 16:27:34.06,2025-05-19
246.3,0.037,0.5,0.000546,19:05:2025 16:27:37.12,2025-05-19
246.9,0.037,0.5,0.000546,19:05:2025 16:27:40.18,2025-05-19
246.7,0.037,0.5,0.000546,19:05:2025 16:27:43.23,2025-05-19
246.5,0.037,0.5,0.000546,19:05:2025 16:27:46.27,2025-05-19
246.2,0.37,79.5,0.000546,19:05:2025 16:27:49.32,2025-05-19
246.2,0.393,86.0,0.000546,19:05:2025 16:27:55.13,2025-05-19
246.0,0.397,87.3,0.000546,19:05:2025 16:27:58.21,2025-05-19
245.8,0.4,87.9,0.000546,19:05:2025 16:28:01.25,2025-05-19
245.9,0.4,88.1,0.000546,19:05:2025 16:28:04.30,2025-05-19
246.0,0.399,87.9,0.000546,19:05:2025 16:28:07.34,2025-05-19
246.2,0.4,88.2,0.000546,19:05:2025 16:28:10.46,2025-05-19
246.4,0.397,87.3,0.000546,19:05:2025 16:28:13.51,2025-05-19
246.2,0.392,86.0,0.000546,19:05:2025 16:28:16.58,2025-05-19
246.5,0.39,85.5,0.000546,19:05:2025 16:28:19.64,2025-05-19
246.5,0.389,85.1,0.000546,19:05:2025 16:28:22.69,2025-05-19
246.3,0.415,91.7,0.000547,19:05:2025 16:28:25.90,2025-05-19
246.0,0.454,102.7,0.000547,19:05:2025 16:28:28.95,2025-05-19
246.3,0.453,102.5,0.000547,19:05:2025 16:28:32.03,2025-05-19
246.2,0.452,102.3,0.000547,19:05:2025 16:28:35.12,2025-05-19
246.5,0.448,101.5,0.000547,19:05:2025 16:28:38.19,2025-05-19
247.1,0.447,101.2,0.000547,19:05:2025 16:28:41.24,2025-05-19
246.9,0.444,100.5,0.000547,19:05:2025 16:28:44.29,2025-05-19
248.6,0.442,100.5,0.000547,19:05:2025 16:28:47.36,2025-05-19
248.8,0.408,91.4,0.000547,19:05:2025 16:28:50.41,2025-05-19
248.7,0.378,82.6,0.000547,19:05:2025 16:28:53.48,2025-05-19
248.5,0.377,82.3,0.000547,19:05:2025 16:28:56.52,2025-05-19
248.7,0.377,82.4,0.000548,19:05:2025 16:28:59.58,2025-05-19
248.8,0.378,82.6,0.000548,19:05:2025 16:29:02.64,2025-05-19
