voltage,current,power,energy,timestamp,date
242.2,0.077,0.8,4.9e-05,,
242.4,0.077,0.8,4.9e-05,,
242.6,0.077,0.8,4.9e-05,,
242.4,0.077,0.8,4.9e-05,,
242.6,0.077,0.9,4.9e-05,,
242.7,0.077,0.8,4.9e-05,,
242.6,0.077,0.8,4.9e-05,,
243.6,0.078,0.8,4.9e-05,,
242.7,0.077,0.9,4.9e-05,,
243.0,0.077,0.8,4.9e-05,,
243.8,0.077,0.9,4.9e-05,,
242.7,0.077,0.8,4.9e-05,,
242.6,0.077,0.8,4.9e-05,,
242.5,0.077,0.8,4.9e-05,,
243.3,0.077,0.8,4.9e-05,,
243.1,0.077,0.8,4.9e-05,,
242.8,0.077,0.9,4.9e-05,,
243.3,0.077,0.7,4.9e-05,,
243.7,0.077,0.8,4.9e-05,15:05:2025 15:47:33.04,2025-05-15
243.7,0.078,0.9,4.9e-05,15:05:2025 15:47:38.34,2025-05-15
243.6,0.078,0.8,4.9e-05,15:05:2025 15:47:43.45,2025-05-15
243.8,0.077,0.8,4.9e-05,15:05:2025 15:47:48.58,2025-05-15
244.5,0.078,0.8,4.9e-05,15:05:2025 15:47:53.70,2025-05-15
244.2,0.078,0.8,4.9e-05,15:05:2025 15:47:58.81,2025-05-15
243.2,0.077,0.8,4.9e-05,15:05:2025 15:48:03.92,2025-05-15
242.1,0.077,0.8,4.9e-05,15:05:2025 15:48:09.02,2025-05-15
242.8,0.077,0.9,4.9e-05,15:05:2025 15:48:14.17,2025-05-15
243.0,0.077,0.8,4.9e-05,15:05:2025 15:48:19.27,2025-05-15
242.4,0.077,0.8,4.9e-05,15:05:2025 15:48:24.37,2025-05-15
242.7,0.077,0.8,4.9e-05,15:05:2025 15:48:29.51,2025-05-15
242.6,0.077,0.8,4.9e-05,15:05:2025 15:48:34.61,2025-05-15
241.1,0.077,0.8,4.9e-05,15:05:2025 15:48:39.72,2025-05-15
242.5,0.077,0.9,4.9e-05,15:05:2025 15:48:44.83,2025-05-15
242.6,0.077,0.8,4.9e-05,15:05:2025 15:48:49.95,2025-05-15
242.7,0.077,0.8,4.9e-05,15:05:2025 15:48:55.05,2025-05-15
242.8,0.154,16.7,4.9e-05,15:05:2025 15:49:00.15,2025-05-15
242.4,0.322,51.4,4.9e-05,15:05:2025 15:49:05.24,2025-05-15
242.4,0.325,52.1,4.9e-05,15:05:2025 15:49:10.34,2025-05-15
242.5,0.328,52.8,4.9e-05,15:05:2025 15:49:15.46,2025-05-15
243.0,0.339,55.0,4.9e-05,15:05:2025 15:49:20.57,2025-05-15
243.1,0.337,54.4,4.9e-05,15:05:2025 15:49:25.72,2025-05-15
243.5,0.341,55.4,4.9e-05,15:05:2025 15:49:30.82,2025-05-15
243.7,0.343,55.5,4.9e-05,15:05:2025 15:49:35.93,2025-05-15
243.2,0.342,55.2,4.9e-05,15:05:2025 15:49:41.17,2025-05-15
243.2,0.346,56.1,4.9e-05,15:05:2025 15:49:46.37,2025-05-15
243.8,0.344,55.8,5e-05,15:05:2025 15:49:51.48,2025-05-15
242.3,0.347,56.0,5e-05,15:05:2025 15:49:56.61,2025-05-15
242.2,0.348,56.1,5e-05,15:05:2025 15:50:01.73,2025-05-15
242.6,0.349,55.9,5e-05,15:05:2025 15:50:06.82,2025-05-15
242.6,0.347,55.8,5e-05,15:05:2025 15:50:11.92,2025-05-15
242.6,0.345,55.1,5e-05,15:05:2025 15:50:17.02,2025-05-15
242.5,0.343,55.1,5e-05,15:05:2025 15:50:22.11,2025-05-15
242.7,0.345,55.4,5e-05,15:05:2025 15:50:27.22,2025-05-15
