voltage,current,power,energy,timestamp,date
248.2,0.348,56.6,0.000165,18:05:2025 12:24:22.09,2025-05-18
248.2,0.341,56.1,0.000165,18:05:2025 12:24:27.37,2025-05-18
248.9,0.339,56.1,0.000165,18:05:2025 12:24:32.82,2025-05-18
247.7,0.342,55.9,0.000165,18:05:2025 12:24:38.23,2025-05-18
247.1,0.346,56.0,0.000165,18:05:2025 12:24:43.67,2025-05-18
247.0,0.344,55.9,0.000165,18:05:2025 12:24:48.82,2025-05-18
247.2,0.344,55.8,0.000165,18:05:2025 12:24:54.14,2025-05-18
247.1,0.344,55.8,0.000165,18:05:2025 12:24:59.40,2025-05-18
247.3,0.346,56.0,0.000165,18:05:2025 12:25:04.85,2025-05-18
247.8,0.351,56.8,0.000165,18:05:2025 12:25:10.61,2025-05-18
247.2,0.359,57.8,0.000165,18:05:2025 12:25:15.90,2025-05-18
247.0,0.363,58.7,0.000165,18:05:2025 12:25:21.03,2025-05-18
247.7,0.352,57.2,0.000166,18:05:2025 12:25:26.29,2025-05-18
247.5,0.351,57.0,0.000166,18:05:2025 12:25:31.40,2025-05-18
247.9,0.349,56.7,0.000166,18:05:2025 12:25:36.59,2025-05-18
248.7,0.347,56.8,0.000166,18:05:2025 12:25:41.77,2025-05-18
247.7,0.348,56.7,0.000166,18:05:2025 12:25:47.12,2025-05-18
247.3,0.35,56.8,0.000166,18:05:2025 12:25:52.29,2025-05-18
247.3,0.349,56.6,0.000166,18:05:2025 12:25:57.43,2025-05-18
247.7,0.352,57.1,0.000166,18:05:2025 12:26:02.53,2025-05-18
247.6,0.358,58.6,0.000166,18:05:2025 12:26:07.69,2025-05-18
247.3,0.352,57.3,0.000166,18:05:2025 12:26:12.81,2025-05-18
247.7,0.356,58.1,0.000166,18:05:2025 12:26:17.97,2025-05-18
247.4,0.355,57.8,0.000167,18:05:2025 12:26:23.47,2025-05-18
247.9,0.348,57.4,0.000167,18:05:2025 12:26:30.11,2025-05-18
248.6,0.351,58.1,0.000167,18:05:2025 12:26:36.26,2025-05-18
248.7,0.348,57.7,0.000167,18:05:2025 12:26:41.94,2025-05-18
248.5,0.351,57.7,0.000167,18:05:2025 12:26:48.11,2025-05-18
248.1,0.356,58.4,0.000167,18:05:2025 12:26:53.42,2025-05-18
248.5,0.356,58.5,0.000167,18:05:2025 12:27:01.13,2025-05-18
248.3,0.352,57.8,0.000167,18:05:2025 12:27:06.62,2025-05-18
248.1,0.349,57.1,0.000167,18:05:2025 12:27:11.83,2025-05-18
248.0,0.358,58.5,0.000167,18:05:2025 12:27:17.13,2025-05-18
248.0,0.351,58.0,0.000167,18:05:2025 12:27:22.46,2025-05-18
247.9,0.348,57.3,0.000167,18:05:2025 12:27:27.73,2025-05-18
247.8,0.35,57.6,0.000168,18:05:2025 12:27:33.15,2025-05-18
247.9,0.353,58.4,0.000168,18:05:2025 12:27:38.32,2025-05-18
247.9,0.353,58.0,0.000168,18:05:2025 12:27:43.60,2025-05-18
